timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692855510967,332,HTTP Request-1,200,OK,Thread Group 1-71,text,true,,3293,119,61,61,https://www.saucedemo.com/,331,0,231
1692855510746,218,HTTP Request-0,301,Moved Permanently,Thread Group 1-68,text,true,,654,119,61,61,http://www.saucedemo.com/,218,0,110
1692855510964,333,HTTP Request-1,200,OK,Thread Group 1-68,text,true,,3293,119,61,61,https://www.saucedemo.com/,333,0,236
1692855510858,524,HTTP Request,200,OK,Thread Group 1-73,text,true,,3947,238,59,59,https://www.saucedemo.com/,207,0,108
1692855510858,207,HTTP Request-0,301,Moved Permanently,Thread Group 1-73,text,true,,654,119,59,59,http://www.saucedemo.com/,207,0,108
1692855511066,316,HTTP Request-1,200,OK,Thread Group 1-73,text,true,,3293,119,59,59,https://www.saucedemo.com/,315,0,218
1692855510367,1067,HTTP Request,200,OK,Thread Group 1-32,text,true,,3947,238,58,58,https://www.saucedemo.com/,201,0,94
1692855510367,201,HTTP Request-0,301,Moved Permanently,Thread Group 1-32,text,true,,654,119,58,58,http://www.saucedemo.com/,201,0,94
1692855510568,866,HTTP Request-1,200,OK,Thread Group 1-32,text,true,,3293,119,58,58,https://www.saucedemo.com/,866,0,775
1692855510397,1055,HTTP Request,200,OK,Thread Group 1-35,text,true,,3948,238,57,57,https://www.saucedemo.com/,163,0,73
1692855510397,163,HTTP Request-0,301,Moved Permanently,Thread Group 1-35,text,true,,655,119,57,57,http://www.saucedemo.com/,163,0,73
1692855510560,892,HTTP Request-1,200,OK,Thread Group 1-35,text,true,,3293,119,57,57,https://www.saucedemo.com/,892,0,786
1692855510483,986,HTTP Request,200,OK,Thread Group 1-39,text,true,,3948,238,56,56,https://www.saucedemo.com/,715,0,619
1692855510483,715,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,655,119,56,56,http://www.saucedemo.com/,715,0,619
1692855511198,271,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,3293,119,56,56,https://www.saucedemo.com/,271,0,175
1692855510387,1083,HTTP Request,200,OK,Thread Group 1-34,text,true,,3947,238,55,55,https://www.saucedemo.com/,158,0,74
1692855510387,158,HTTP Request-0,301,Moved Permanently,Thread Group 1-34,text,true,,654,119,55,55,http://www.saucedemo.com/,158,0,74
1692855510546,924,HTTP Request-1,200,OK,Thread Group 1-34,text,true,,3293,119,55,55,https://www.saucedemo.com/,924,0,813
1692855510991,495,HTTP Request,200,OK,Thread Group 1-91,text,true,,3947,238,54,54,https://www.saucedemo.com/,188,0,86
1692855510991,188,HTTP Request-0,301,Moved Permanently,Thread Group 1-91,text,true,,654,119,54,54,http://www.saucedemo.com/,188,0,86
1692855511179,307,HTTP Request-1,200,OK,Thread Group 1-91,text,true,,3293,119,54,54,https://www.saucedemo.com/,307,0,206
1692855510527,990,HTTP Request,200,OK,Thread Group 1-47,text,true,,3947,238,53,53,https://www.saucedemo.com/,674,0,604
1692855510527,674,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,654,119,53,53,http://www.saucedemo.com/,674,0,604
1692855511202,315,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,3293,119,53,53,https://www.saucedemo.com/,315,0,205
1692855510513,1009,HTTP Request,200,OK,Thread Group 1-44,text,true,,3947,238,52,52,https://www.saucedemo.com/,704,0,619
1692855510513,704,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,654,119,52,52,http://www.saucedemo.com/,704,0,619
1692855511218,304,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,3293,119,52,52,https://www.saucedemo.com/,304,0,202
1692855511115,490,HTTP Request,200,OK,Thread Group 1-98,text,true,,3947,238,51,51,https://www.saucedemo.com/,187,0,87
1692855511115,187,HTTP Request-0,301,Moved Permanently,Thread Group 1-98,text,true,,654,119,51,51,http://www.saucedemo.com/,187,0,87
1692855511302,303,HTTP Request-1,200,OK,Thread Group 1-98,text,true,,3293,119,51,51,https://www.saucedemo.com/,303,0,193
1692855511123,486,HTTP Request,200,OK,Thread Group 1-99,text,true,,3948,238,50,50,https://www.saucedemo.com/,192,0,93
1692855511123,192,HTTP Request-0,301,Moved Permanently,Thread Group 1-99,text,true,,654,119,50,50,http://www.saucedemo.com/,192,0,93
1692855511316,293,HTTP Request-1,200,OK,Thread Group 1-99,text,true,,3294,119,50,50,https://www.saucedemo.com/,293,0,200
1692855510710,956,HTTP Request,200,OK,Thread Group 1-66,text,true,,3947,238,49,49,https://www.saucedemo.com/,684,0,607
1692855510710,684,HTTP Request-0,301,Moved Permanently,Thread Group 1-66,text,true,,654,119,49,49,http://www.saucedemo.com/,684,0,607
1692855511395,271,HTTP Request-1,200,OK,Thread Group 1-66,text,true,,3293,119,49,49,https://www.saucedemo.com/,271,0,175
1692855510739,932,HTTP Request,200,OK,Thread Group 1-69,text,true,,3947,238,48,48,https://www.saucedemo.com/,671,0,592
1692855510739,671,HTTP Request-0,301,Moved Permanently,Thread Group 1-69,text,true,,654,119,48,48,http://www.saucedemo.com/,671,0,592
1692855511411,260,HTTP Request-1,200,OK,Thread Group 1-69,text,true,,3293,119,48,48,https://www.saucedemo.com/,260,0,168
